patient_id,localization,mfcc_00,mfcc_01,mfcc_02,mfcc_03,mfcc_04,mfcc_05,mfcc_06,mfcc_07,mfcc_08,mfcc_09,mfcc_10,mfcc_11,centroid
HF008,RUL,-648.664794922,118.672391256,-24.4838546117,-29.8895359039,-50.1614176432,-63.1941541036,-43.6567064921,-29.0787245433,-30.5512625376,-25.2723522186,-15.226480484,-15.964656194,0.144293788194
HF009,LLL,-778.515563965,130.033587138,-22.2378228506,-32.6072057088,-57.5112419128,-45.8461456299,-35.6735992432,-35.2748858134,-27.5754731496,-16.3743298849,-16.5024426778,-12.831059138,0.12319394953
HF009,LML,-785.65826416,115.760851542,-17.7199743589,-34.4075126648,-55.0398839315,-46.9449310303,-37.0100593567,-32.8638598124,-26.868590037,-15.7766291301,-16.2056471507,-12.8038431804,0.154381304162
HF009,LUL,-777.469014486,94.5000025432,-6.90547188125,-35.6564331055,-54.3342386882,-50.0123456319,-40.646068573,-31.0445531209,-26.352684021,-16.4600499471,-16.3439324697,-12.3128887812,0.188535961907
HF009,RLL,-810.284891764,120.536318461,-22.5030902227,-30.1296202342,-57.8345387777,-45.3354657491,-33.64777565,-32.0124060313,-26.7130661011,-15.962960879,-17.4475154877,-12.4355990092,0.13709170508
HF009,RML,-776.096944173,120.525741577,-12.463449796,-32.9336191813,-57.3403396606,-49.6316401164,-38.2656733195,-29.7342713674,-27.9853363037,-17.6189641953,-16.1310714086,-11.8764079412,0.147821703186
HF009,RUL,-785.229431152,99.5751342773,-6.26454655329,-35.2242647807,-56.3503761292,-48.9596862793,-37.6115570068,-34.3903859457,-27.2264671326,-15.5601406097,-16.0176763535,-11.8984352748,0.17875852471
HF010,LLL,-828.25692749,129.454477946,-40.8780581156,-22.0028448105,-37.3815720876,-46.8717651367,-31.3311065038,-32.8946708043,-31.7021052043,-15.7693014145,-15.8184755643,-16.2522047361,0.124659808352
HF010,LML,-818.791046143,121.823805491,-37.8403046926,-21.0591117541,-36.017496109,-49.1291065216,-35.1006323496,-31.6487506231,-31.0229345957,-16.434027036,-14.0048483213,-15.2482821147,0.139077897705
HF010,LUL,-829.999521891,123.841616313,-31.8155155182,-25.6302496592,-35.9813779195,-48.0314572652,-35.3060213725,-31.6687552134,-28.9634154637,-14.8793794314,-14.1629544894,-14.6111539205,0.136536962953
HF010,RLL,-827.077555339,130.396279653,-37.1169204712,-22.7186104457,-39.2186476389,-47.1351407369,-30.8770723343,-29.6207402547,-33.0200929642,-16.9136406581,-16.0223857562,-16.4642512003,0.127412352635
